id,skill,group,conceptType,reuse,priority,aliases
ESCO-CR-069,flexibilidad,transversal,skill/competence,transversal,5,flexibilidad
ESCO-CR-070,seguimiento de instrucciones,transversal,skill/competence,transversal,5,seguimiento de instrucciones
ESCO-CR-071,cumplimiento de metas,transversal,skill/competence,transversal,5,cumplimiento de metas
ESCO-CR-072,priorización de tareas,transversal,skill/competence,transversal,5,priorización de tareas
ESCO-CR-073,disciplina operativa,transversal,skill/competence,transversal,5,disciplina operativa
ESCO-CR-074,colaboración,transversal,skill/competence,transversal,5,colaboración
ESCO-CR-075,escucha activa,transversal,skill/competence,transversal,5,escucha activa
ESCO-CR-076,empatía,comunicacion,skill/competence,transversal,5,empatía
ESCO-CR-077,liderazgo básico,comunicacion,skill/competence,transversal,5,liderazgo básico
ESCO-CR-078,negociación,comunicacion,skill/competence,transversal,5,negociación
ESCO-CR-079,creatividad,comunicacion,skill/competence,transversal,5,creatividad
ESCO-CR-080,mejora continua,comunicacion,skill/competence,transversal,5,mejora continua
ESCO-CR-081,pensamiento analítico,comunicacion,skill/competence,transversal,5,pensamiento analítico
ESCO-CR-082,comunicación asertiva,comunicacion,skill/competence,transversal,5,comunicación asertiva
ESCO-CR-083,redacción clara,comunicacion,skill/competence,transversal,5,redacción clara
ESCO-CR-084,presentación personal,comunicacion,skill/competence,transversal,5,presentación personal
ESCO-CR-085,actitud positiva,comunicacion,skill/competence,transversal,5,actitud positiva
ESCO-CR-086,orientación al cliente,comunicacion,skill/competence,transversal,5,orientación al cliente
ESCO-CR-087,lectura comprensiva,comunicacion,skill/competence,transversal,5,lectura comprensiva
ESCO-CR-088,cálculo básico,comunicacion,skill/competence,transversal,5,cálculo básico
ESCO-CR-089,análisis de información,comunicacion,skill/competence,transversal,5,análisis de información
ESCO-CR-090,manejo de conflictos,comunicacion,skill/competence,transversal,5,manejo de conflictos; conflictos
ESCO-CR-091,retroalimentación,comunicacion,skill/competence,transversal,5,retroalimentación
ESCO-CR-092,cumplimiento normativo,comunicacion,skill/competence,transversal,5,cumplimiento normativo
ESCO-CR-093,trabajo bajo presión,comunicacion,skill/competence,transversal,5,trabajo bajo presión
ESCO-CR-094,coordinación con equipos,comunicacion,skill/competence,transversal,5,coordinación con equipos
ESCO-CR-095,documentación de actividades,comunicacion,skill/competence,transversal,5,documentación de actividades
ESCO-CR-096,comunicación oral,comunicacion,skill/competence,transversal,5,comunicación oral
ESCO-CR-097,comunicación escrita,comunicacion,skill/competence,transversal,5,comunicación escrita
ESCO-CR-098,atención telefónica,comunicacion,skill/competence,transversal,5,atención telefónica
ESCO-CR-099,redacción de correos,comunicacion,skill/competence,transversal,5,redacción de correos
ESCO-CR-100,presentaciones efectivas,comunicacion,skill/competence,transversal,5,presentaciones efectivas
ESCO-CR-101,uso de correo electrónico,digital_basico,skill/competence,transversal,5,uso de correo electrónico
ESCO-CR-102,manejo de Microsoft Word,digital_basico,skill/competence,transversal,5,manejo de Microsoft Word; manejo de Word; Microsoft Word
ESCO-CR-103,manejo de Microsoft Excel,digital_basico,skill/competence,transversal,5,manejo de Microsoft Excel; manejo de Excel; Microsoft Excel
ESCO-CR-104,manejo de PowerPoint,digital_basico,skill/competence,transversal,5,manejo de PowerPoint; PowerPoint
ESCO-CR-105,uso de Google Drive,digital_basico,skill/competence,transversal,5,uso de Google Drive
ESCO-CR-106,uso de Google Sheets,digital_basico,skill/competence,transversal,5,uso de Google Sheets
ESCO-CR-107,uso de Google Docs,digital_basico,skill/competence,transversal,5,uso de Google Docs
ESCO-CR-108,búsqueda de información en internet,digital_basico,skill/competence,transversal,5,búsqueda de información en internet
ESCO-CR-109,digitación,digital_basico,skill/competence,transversal,5,digitación
ESCO-CR-110,gestión de archivos digitales,digital_basico,skill/competence,transversal,5,gestión de archivos digitales
ESCO-CR-111,videoconferencias,digital_basico,skill/competence,transversal,5,videoconferencias
ESCO-CR-112,uso de Microsoft Teams,digital_basico,skill/competence,transversal,5,uso de Microsoft Teams; uso de Teams
ESCO-CR-113,uso de Zoom,digital_basico,skill/competence,transversal,5,uso de Zoom
ESCO-CR-114,calendarios digitales,digital_basico,skill/competence,transversal,5,calendarios digitales
ESCO-CR-115,formularios digitales,digital_basico,skill/competence,transversal,5,formularios digitales
ESCO-CR-116,ciberseguridad básica,digital_basico,skill/competence,transversal,5,ciberseguridad básica
ESCO-CR-117,contraseñas seguras,digital_basico,skill/competence,transversal,5,contraseñas seguras
ESCO-CR-118,uso de CRM básico,digital_basico,skill/competence,transversal,5,uso de CRM básico
ESCO-CR-119,uso de ERP básico,digital_basico,skill/competence,transversal,5,uso de ERP básico
ESCO-CR-120,facturación electrónica,digital_basico,skill/competence,transversal,5,facturación electrónica
ESCO-CR-121,firma digital,digital_basico,skill/competence,transversal,5,firma digital
ESCO-CR-122,escaneo de documentos,digital_basico,skill/competence,transversal,5,escaneo de documentos
ESCO-CR-123,conversión a PDF,digital_basico,skill/competence,transversal,5,conversión a PDF
ESCO-CR-124,uso de WhatsApp Business,digital_basico,skill/competence,transversal,5,uso de WhatsApp Business
ESCO-CR-125,redes sociales básicas,digital_basico,skill/competence,transversal,5,redes sociales básicas
ESCO-CR-126,análisis de datos,digital_avanzado,skill/competence,sector-specific,3,análisis de datos
ESCO-CR-127,Power BI,digital_avanzado,skill/competence,sector-specific,3,Power BI
ESCO-CR-128,SQL,digital_avanzado,skill/competence,sector-specific,3,SQL
ESCO-CR-129,Python básico,digital_avanzado,skill/competence,sector-specific,3,Python básico
ESCO-CR-130,visualización de datos,digital_avanzado,skill/competence,sector-specific,3,visualización de datos
ESCO-CR-131,modelado de datos,digital_avanzado,skill/competence,sector-specific,3,modelado de datos
ESCO-CR-132,limpieza de bases de datos,digital_avanzado,skill/competence,sector-specific,3,limpieza de bases de datos
ESCO-CR-133,automatización de reportes,digital_avanzado,skill/competence,sector-specific,3,automatización de reportes
ESCO-CR-134,dashboards ejecutivos,digital_avanzado,skill/competence,sector-specific,3,dashboards ejecutivos
ESCO-CR-135,inteligencia de negocios,digital_avanzado,skill/competence,sector-specific,3,inteligencia de negocios
ESCO-CR-136,Excel avanzado,digital_avanzado,skill/competence,sector-specific,3,Excel avanzado
ESCO-CR-137,macros de Excel,digital_avanzado,skill/competence,sector-specific,3,macros de Excel
ESCO-CR-138,Power Query,digital_avanzado,skill/competence,sector-specific,3,Power Query
ESCO-CR-139,Google Looker Studio,digital_avanzado,skill/competence,sector-specific,3,Google Looker Studio
ESCO-CR-140,integración de datos,digital_avanzado,skill/competence,sector-specific,3,integración de datos
ESCO-CR-141,API básicas,digital_avanzado,skill/competence,sector-specific,3,API básicas
ESCO-CR-142,Git básico,digital_avanzado,skill/competence,sector-specific,3,Git básico
ESCO-CR-143,documentación técnica,digital_avanzado,skill/competence,sector-specific,3,documentación técnica
ESCO-CR-144,analítica web,digital_avanzado,skill/competence,sector-specific,3,analítica web
ESCO-CR-145,Google Analytics,digital_avanzado,skill/competence,sector-specific,3,Google Analytics
ESCO-CR-146,gestión de bases de datos,digital_avanzado,skill/competence,sector-specific,3,gestión de bases de datos
ESCO-CR-147,calidad de datos,digital_avanzado,skill/competence,sector-specific,3,calidad de datos
ESCO-CR-148,minería de datos,digital_avanzado,skill/competence,sector-specific,3,minería de datos
ESCO-CR-149,reportería KPI,digital_avanzado,skill/competence,sector-specific,3,reportería KPI
ESCO-CR-150,uso responsable de IA,digital_avanzado,skill/competence,sector-specific,3,uso responsable de IA
ESCO-CR-151,soporte técnico,tic_soporte,skill/competence,sector-specific,4,soporte técnico
ESCO-CR-152,mesa de ayuda,tic_soporte,skill/competence,sector-specific,4,mesa de ayuda
ESCO-CR-153,instalación de software,tic_soporte,skill/competence,sector-specific,4,instalación de software
ESCO-CR-154,configuración de hardware,tic_soporte,skill/competence,sector-specific,4,configuración de hardware
ESCO-CR-155,redes básicas,tic_soporte,skill/competence,sector-specific,4,redes básicas
ESCO-CR-156,diagnóstico de fallas,tic_soporte,skill/competence,sector-specific,4,diagnóstico de fallas
ESCO-CR-157,mantenimiento preventivo de computadoras,tic_soporte,skill/competence,sector-specific,4,mantenimiento preventivo de computadoras
ESCO-CR-158,seguridad informática básica,tic_soporte,skill/competence,sector-specific,4,seguridad informática básica
ESCO-CR-159,sistemas operativos Windows,tic_soporte,skill/competence,sector-specific,4,sistemas operativos Windows
ESCO-CR-160,sistemas operativos Linux,tic_soporte,skill/competence,sector-specific,4,sistemas operativos Linux
ESCO-CR-161,desarrollo web HTML,tic_soporte,skill/competence,sector-specific,4,desarrollo web HTML
ESCO-CR-162,CSS,tic_soporte,skill/competence,sector-specific,4,CSS
ESCO-CR-163,JavaScript,tic_soporte,skill/competence,sector-specific,4,JavaScript
ESCO-CR-164,bases de datos,tic_soporte,skill/competence,sector-specific,4,bases de datos
ESCO-CR-165,pruebas de software,tic_soporte,skill/competence,sector-specific,4,pruebas de software
ESCO-CR-166,QA de software,tic_soporte,skill/competence,sector-specific,4,QA de software
ESCO-CR-167,metodologías ágiles,tic_soporte,skill/competence,sector-specific,4,metodologías ágiles
ESCO-CR-168,Scrum,tic_soporte,skill/competence,sector-specific,4,Scrum
ESCO-CR-169,gestión de requerimientos,tic_soporte,skill/competence,sector-specific,4,gestión de requerimientos
ESCO-CR-170,documentación de sistemas,tic_soporte,skill/competence,sector-specific,4,documentación de sistemas
ESCO-CR-171,atención a usuarios TI,tic_soporte,skill/competence,sector-specific,4,atención a usuarios TI
ESCO-CR-172,soporte remoto,tic_soporte,skill/competence,sector-specific,4,soporte remoto
ESCO-CR-173,resolución de incidentes,tic_soporte,skill/competence,sector-specific,4,resolución de incidentes
ESCO-CR-174,monitoreo de sistemas,tic_soporte,skill/competence,sector-specific,4,monitoreo de sistemas
ESCO-CR-175,administración de usuarios,tic_soporte,skill/competence,sector-specific,4,administración de usuarios
ESCO-CR-176,archivo de documentos,administracion,skill/competence,sector-specific,4,archivo de documentos
ESCO-CR-177,gestión documental,administracion,skill/competence,sector-specific,4,gestión documental
ESCO-CR-178,asistencia administrativa,administracion,skill/competence,sector-specific,4,asistencia administrativa
ESCO-CR-179,recepción,administracion,skill/competence,sector-specific,4,recepción
ESCO-CR-180,agenda de citas,administracion,skill/competence,sector-specific,4,agenda de citas
ESCO-CR-181,control de expedientes,administracion,skill/competence,sector-specific,4,control de expedientes
ESCO-CR-182,digitación administrativa,administracion,skill/competence,sector-specific,4,digitación administrativa
ESCO-CR-183,elaboración de reportes,administracion,skill/competence,sector-specific,4,elaboración de reportes
ESCO-CR-184,control de inventario,administracion,skill/competence,sector-specific,4,control de inventario
ESCO-CR-185,compras administrativas,administracion,skill/competence,sector-specific,4,compras administrativas
ESCO-CR-186,gestión de proveedores,administracion,skill/competence,sector-specific,4,gestión de proveedores
ESCO-CR-187,control de activos,administracion,skill/competence,sector-specific,4,control de activos
ESCO-CR-188,seguimiento de solicitudes,administracion,skill/competence,sector-specific,4,seguimiento de solicitudes
ESCO-CR-189,atención de ventanilla,administracion,skill/competence,sector-specific,4,atención de ventanilla
ESCO-CR-190,tramitología,administracion,skill/competence,sector-specific,4,tramitología
ESCO-CR-191,control de correspondencia,administracion,skill/competence,sector-specific,4,control de correspondencia
ESCO-CR-192,apoyo a gerencia,administracion,skill/competence,sector-specific,4,apoyo a gerencia
ESCO-CR-193,coordinación de reuniones,administracion,skill/competence,sector-specific,4,coordinación de reuniones
ESCO-CR-194,elaboración de minutas,administracion,skill/competence,sector-specific,4,elaboración de minutas
ESCO-CR-195,control de caja chica,administracion,skill/competence,sector-specific,4,control de caja chica
ESCO-CR-196,gestión de viáticos,administracion,skill/competence,sector-specific,4,gestión de viáticos
ESCO-CR-197,orden de compra,administracion,skill/competence,sector-specific,4,orden de compra
ESCO-CR-198,control de asistencia,administracion,skill/competence,sector-specific,4,control de asistencia
ESCO-CR-199,manejo de formularios,administracion,skill/competence,sector-specific,4,manejo de formularios; formularios
ESCO-CR-200,registro de datos,administracion,skill/competence,sector-specific,4,registro de datos
ESCO-CR-201,contabilidad básica,finanzas,skill/competence,sector-specific,4,contabilidad básica
ESCO-CR-202,cuentas por cobrar,finanzas,skill/competence,sector-specific,4,cuentas por cobrar
ESCO-CR-203,cuentas por pagar,finanzas,skill/competence,sector-specific,4,cuentas por pagar
ESCO-CR-204,conciliaciones bancarias,finanzas,skill/competence,sector-specific,4,conciliaciones bancarias
ESCO-CR-205,análisis financiero básico,finanzas,skill/competence,sector-specific,4,análisis financiero básico
ESCO-CR-206,presupuestos,finanzas,skill/competence,sector-specific,4,presupuestos
ESCO-CR-207,control de gastos,finanzas,skill/competence,sector-specific,4,control de gastos
ESCO-CR-208,cierre de caja,finanzas,skill/competence,sector-specific,4,cierre de caja
ESCO-CR-209,arqueo de caja,finanzas,skill/competence,sector-specific,4,arqueo de caja
ESCO-CR-210,control de ingresos,finanzas,skill/competence,sector-specific,4,control de ingresos
ESCO-CR-211,control de egresos,finanzas,skill/competence,sector-specific,4,control de egresos
ESCO-CR-212,gestión de crédito,finanzas,skill/competence,sector-specific,4,gestión de crédito
ESCO-CR-213,cobros,finanzas,skill/competence,sector-specific,4,cobros
ESCO-CR-214,seguros básicos,finanzas,skill/competence,sector-specific,4,seguros básicos
ESCO-CR-215,productos financieros,finanzas,skill/competence,sector-specific,4,productos financieros
ESCO-CR-216,cumplimiento financiero,finanzas,skill/competence,sector-specific,4,cumplimiento financiero
ESCO-CR-217,prevención de fraude,finanzas,skill/competence,sector-specific,4,prevención de fraude
ESCO-CR-218,lectura de estados financieros,finanzas,skill/competence,sector-specific,4,lectura de estados financieros
ESCO-CR-219,registro contable,finanzas,skill/competence,sector-specific,4,registro contable
ESCO-CR-220,impuestos básicos,finanzas,skill/competence,sector-specific,4,impuestos básicos
ESCO-CR-221,declaraciones tributarias,finanzas,skill/competence,sector-specific,4,declaraciones tributarias
ESCO-CR-222,auditoría básica,finanzas,skill/competence,sector-specific,4,auditoría básica
ESCO-CR-223,control interno,finanzas,skill/competence,sector-specific,4,control interno
ESCO-CR-224,tesorería básica,finanzas,skill/competence,sector-specific,4,tesorería básica
ESCO-CR-225,flujo de caja,finanzas,skill/competence,sector-specific,4,flujo de caja
ESCO-CR-226,ensamble,manufactura,skill/competence,sector-specific,5,ensamble
ESCO-CR-227,empaque,manufactura,skill/competence,sector-specific,5,empaque
ESCO-CR-228,producción industrial,manufactura,skill/competence,sector-specific,5,producción industrial
ESCO-CR-229,operación de maquinaria,manufactura,skill/competence,sector-specific,5,operación de maquinaria
ESCO-CR-230,línea de producción,manufactura,skill/competence,sector-specific,5,línea de producción
ESCO-CR-231,control de calidad,manufactura,skill/competence,sector-specific,5,control de calidad
ESCO-CR-232,inspección visual,manufactura,skill/competence,sector-specific,5,inspección visual
ESCO-CR-233,medición con instrumentos,manufactura,skill/competence,sector-specific,5,medición con instrumentos
ESCO-CR-234,lectura de planos,manufactura,skill/competence,sector-specific,5,lectura de planos
ESCO-CR-235,uso de herramientas manuales,manufactura,skill/competence,sector-specific,5,uso de herramientas manuales
ESCO-CR-236,uso de herramientas eléctricas,manufactura,skill/competence,sector-specific,5,uso de herramientas eléctricas
ESCO-CR-237,mantenimiento autónomo,manufactura,skill/competence,sector-specific,5,mantenimiento autónomo
ESCO-CR-238,5S,manufactura,skill/competence,sector-specific,5,5S
ESCO-CR-239,manufactura esbelta,manufactura,skill/competence,sector-specific,5,manufactura esbelta
ESCO-CR-240,mejora de procesos,manufactura,skill/competence,sector-specific,5,mejora de procesos
ESCO-CR-241,balanceo de línea,manufactura,skill/competence,sector-specific,5,balanceo de línea
ESCO-CR-242,cumplimiento de tiempos de producción,manufactura,skill/competence,sector-specific,5,cumplimiento de tiempos de producción
ESCO-CR-243,registro de producción,manufactura,skill/competence,sector-specific,5,registro de producción
ESCO-CR-244,trazabilidad,manufactura,skill/competence,sector-specific,5,trazabilidad
ESCO-CR-245,manejo de materiales,manufactura,skill/competence,sector-specific,5,manejo de materiales; materiales
ESCO-CR-246,preparación de pedidos,manufactura,skill/competence,sector-specific,5,preparación de pedidos
ESCO-CR-247,etiquetado,manufactura,skill/competence,sector-specific,5,etiquetado
ESCO-CR-248,embalaje,manufactura,skill/competence,sector-specific,5,embalaje
ESCO-CR-249,clasificación de productos,manufactura,skill/competence,sector-specific,5,clasificación de productos
ESCO-CR-250,detección de defectos,manufactura,skill/competence,sector-specific,5,detección de defectos
ESCO-CR-251,bodega,logistica,skill/competence,sector-specific,5,bodega
ESCO-CR-252,recepción de mercadería,logistica,skill/competence,sector-specific,5,recepción de mercadería
ESCO-CR-253,despacho de mercadería,logistica,skill/competence,sector-specific,5,despacho de mercadería
ESCO-CR-254,picking,logistica,skill/competence,sector-specific,5,picking
ESCO-CR-255,packing,logistica,skill/competence,sector-specific,5,packing
ESCO-CR-256,inventarios cíclicos,logistica,skill/competence,sector-specific,5,inventarios cíclicos
ESCO-CR-257,control de stock,logistica,skill/competence,sector-specific,5,control de stock
ESCO-CR-258,almacenamiento,logistica,skill/competence,sector-specific,5,almacenamiento
ESCO-CR-259,manejo de montacargas,logistica,skill/competence,sector-specific,5,manejo de montacargas; montacargas
ESCO-CR-260,licencia B1,logistica,skill/competence,sector-specific,5,licencia B1
ESCO-CR-261,licencia B2,logistica,skill/competence,sector-specific,5,licencia B2
ESCO-CR-262,licencia D3,logistica,skill/competence,sector-specific,5,licencia D3
ESCO-CR-263,ruteo,logistica,skill/competence,sector-specific,5,ruteo
ESCO-CR-264,distribución,logistica,skill/competence,sector-specific,5,distribución
ESCO-CR-265,entrega de productos,logistica,skill/competence,sector-specific,5,entrega de productos
ESCO-CR-266,gestión de transporte,logistica,skill/competence,sector-specific,5,gestión de transporte
ESCO-CR-267,control de guías,logistica,skill/competence,sector-specific,5,control de guías
ESCO-CR-268,carga y descarga,logistica,skill/competence,sector-specific,5,carga y descarga
ESCO-CR-269,ubicación de mercancía,logistica,skill/competence,sector-specific,5,ubicación de mercancía
ESCO-CR-270,WMS,logistica,skill/competence,sector-specific,5,WMS
ESCO-CR-271,SAP logística,logistica,skill/competence,sector-specific,5,SAP logística
ESCO-CR-272,control de devoluciones,logistica,skill/competence,sector-specific,5,control de devoluciones
ESCO-CR-273,cadena de suministro,logistica,skill/competence,sector-specific,5,cadena de suministro
ESCO-CR-274,abastecimiento,logistica,skill/competence,sector-specific,5,abastecimiento
ESCO-CR-275,seguimiento de entregas,logistica,skill/competence,sector-specific,5,seguimiento de entregas
ESCO-CR-276,servicio de mesa,turismo_alimentos,skill/competence,sector-specific,4,servicio de mesa
ESCO-CR-277,atención en restaurante,turismo_alimentos,skill/competence,sector-specific,4,atención en restaurante
ESCO-CR-278,barismo,turismo_alimentos,skill/competence,sector-specific,4,barismo
ESCO-CR-279,bartender,turismo_alimentos,skill/competence,sector-specific,4,bartender
ESCO-CR-280,cocina básica,turismo_alimentos,skill/competence,sector-specific,4,cocina básica
ESCO-CR-281,preparación de alimentos,turismo_alimentos,skill/competence,sector-specific,4,preparación de alimentos
ESCO-CR-282,ayudante de cocina,turismo_alimentos,skill/competence,sector-specific,4,ayudante de cocina
ESCO-CR-283,manipulación de alimentos,turismo_alimentos,skill/competence,sector-specific,4,manipulación de alimentos
ESCO-CR-284,inocuidad alimentaria,turismo_alimentos,skill/competence,sector-specific,4,inocuidad alimentaria
ESCO-CR-285,mise en place,turismo_alimentos,skill/competence,sector-specific,4,mise en place
ESCO-CR-286,limpieza de cocina,turismo_alimentos,skill/competence,sector-specific,4,limpieza de cocina
ESCO-CR-287,lavado de vajilla,turismo_alimentos,skill/competence,sector-specific,4,lavado de vajilla
ESCO-CR-288,control de porciones,turismo_alimentos,skill/competence,sector-specific,4,control de porciones
ESCO-CR-289,inventario de alimentos,turismo_alimentos,skill/competence,sector-specific,4,inventario de alimentos
ESCO-CR-290,recepción hotelera,turismo_alimentos,skill/competence,sector-specific,4,recepción hotelera
ESCO-CR-291,reservas hoteleras,turismo_alimentos,skill/competence,sector-specific,4,reservas hoteleras
ESCO-CR-292,check-in,turismo_alimentos,skill/competence,sector-specific,4,check-in
ESCO-CR-293,check-out,turismo_alimentos,skill/competence,sector-specific,4,check-out
ESCO-CR-294,housekeeping,turismo_alimentos,skill/competence,sector-specific,4,housekeeping
ESCO-CR-295,limpieza de habitaciones,turismo_alimentos,skill/competence,sector-specific,4,limpieza de habitaciones
ESCO-CR-296,servicio al huésped,turismo_alimentos,skill/competence,sector-specific,4,servicio al huésped
ESCO-CR-297,turismo sostenible,turismo_alimentos,skill/competence,sector-specific,4,turismo sostenible
ESCO-CR-298,guía turístico,turismo_alimentos,skill/competence,sector-specific,4,guía turístico
ESCO-CR-299,atención bilingüe turística,turismo_alimentos,skill/competence,sector-specific,4,atención bilingüe turística
ESCO-CR-300,manejo de quejas hoteleras,turismo_alimentos,skill/competence,sector-specific,4,manejo de quejas hoteleras; quejas hoteleras
ESCO-CR-301,servicios de salud,salud_ciencias,skill/competence,sector-specific,3,servicios de salud
ESCO-CR-302,atención al paciente,salud_ciencias,skill/competence,sector-specific,3,atención al paciente
ESCO-CR-303,asistente dental,salud_ciencias,skill/competence,sector-specific,3,asistente dental
ESCO-CR-304,registros clínicos,salud_ciencias,skill/competence,sector-specific,3,registros clínicos
ESCO-CR-305,bioseguridad,salud_ciencias,skill/competence,sector-specific,3,bioseguridad
ESCO-CR-306,toma de signos vitales,salud_ciencias,skill/competence,sector-specific,3,toma de signos vitales
ESCO-CR-307,primeros auxilios,salud_ciencias,skill/competence,sector-specific,3,primeros auxilios
