id,nombre,familia_id,familia,microfamilia_id,microfamilia,nivel,tipo_perfil,zona_referencia,modalidad_referencia,competencias_clave,certificaciones_sugeridas,educacion_minima,experiencia_sugerida,palabras_clave,perfiles_similares
PER-CR-0018,Especialista digital en autocad,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0018,autocad · Herramientas digitales,Herramientas digitales,Digital,Limón,Campo,autocad; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Especialista digital en autocad autocad Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0019,Coordinador/a de proyectos de revit,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0019,revit · Proyectos,Proyectos,Proyectos,Guanacaste,Mixto,revit; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Coordinador/a de proyectos de revit revit Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0020,Técnico/a de campo en gestión,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0020,gestión · Campo / operación local,Campo / operación local,Campo,Zona Sur,Presencial,gestión; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Técnico/a de campo en gestión gestión Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0021,Asesor/a de servicio en Ingeniería civil enfoque 21,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0021,Ingeniería civil enfoque 21 · Servicio al usuario,Servicio al usuario,Servicio,San José,Virtual,Ingeniería civil enfoque 21; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Asesor/a de servicio en Ingeniería civil enfoque 21 Ingeniería civil enfoque 21 Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0022,Ejecutivo/a comercial de Ingeniería civil enfoque 22,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0022,Ingeniería civil enfoque 22 · Gestión comercial,Gestión comercial,Comercial,Cartago,Híbrido,Ingeniería civil enfoque 22; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Ejecutivo/a comercial de Ingeniería civil enfoque 22 Ingeniería civil enfoque 22 Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0023,Analista de cumplimiento en Ingeniería civil enfoque 23,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0023,Ingeniería civil enfoque 23 · Cumplimiento / normativa,Cumplimiento / normativa,Cumplimiento,Limón,Campo,Ingeniería civil enfoque 23; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Analista de cumplimiento en Ingeniería civil enfoque 23 Ingeniería civil enfoque 23 Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0024,Gestor/a emprendedor/a en Ingeniería civil enfoque 24,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0024,Ingeniería civil enfoque 24 · Emprendimiento,Emprendimiento,Emprendimiento,Guanacaste,Mixto,Ingeniería civil enfoque 24; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gestor/a emprendedor/a en Ingeniería civil enfoque 24 Ingeniería civil enfoque 24 Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0025,Gerente de Ingeniería civil enfoque 25,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0025,Ingeniería civil enfoque 25 · Gerencial / estratégico,Gerencial / estratégico,Gerencial,Zona Sur,Presencial,Ingeniería civil enfoque 25; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gerente de Ingeniería civil enfoque 25 Ingeniería civil enfoque 25 Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0026,Auxiliar de ingeniero industrial,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0026,ingeniero industrial · Entrada / auxiliar,Entrada / auxiliar,Operativo,Puntarenas,Virtual,ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion; producción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,0-1 año,"Auxiliar de ingeniero industrial ingeniero industrial Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0027,Asistente de ingenieria industrial,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0027,ingenieria industrial · Asistente,Asistente,Técnico inicial,Zona Norte,Híbrido,ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion; producción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,0-1 año,"Asistente de ingenieria industrial ingenieria industrial Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0028,Técnico/a en procesos,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0028,procesos · Técnico,Técnico,Técnico,GAM,Campo,ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion; producción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Técnico/a en procesos procesos Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0029,Técnico/a certificado/a en mejora continua,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0029,mejora continua · Técnico certificado,Técnico certificado,Técnico certificado,Alajuela,Mixto,ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion; producción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Técnico/a certificado/a en mejora continua mejora continua Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0030,Operador/a especializado/a en lean,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0030,lean · Operativo especializado,Operativo especializado,Operativo especializado,Heredia,Presencial,ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion; producción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Operador/a especializado/a en lean lean Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0031,Analista junior de six sigma,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0031,six sigma · Analista junior,Analista junior,Técnico avanzado,Puntarenas,Virtual,ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion; producción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista junior de six sigma six sigma Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0032,Analista de produccion,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0032,produccion · Analista,Analista,Técnico avanzado,Zona Norte,Híbrido,ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion; producción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista de produccion produccion Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0033,Analista senior de producción,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0033,producción · Analista senior,Analista senior,Profesional,GAM,Campo,ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion; producción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista senior de producción producción Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0034,Especialista en productividad,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0034,productividad · Especialista,Especialista,Profesional / técnico avanzado,Alajuela,Mixto,productividad; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Especialista en productividad productividad Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0035,Coordinador/a de indicadores,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0035,indicadores · Coordinador,Coordinador,Coordinación,Heredia,Presencial,indicadores; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Coordinador/a de indicadores indicadores Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0036,Supervisor/a de calidad,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0036,calidad · Supervisor,Supervisor,Supervisión,Puntarenas,Virtual,calidad; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Supervisor/a de calidad calidad Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0037,Jefatura de optimización,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0037,optimización · Jefatura,Jefatura,Jefatura,Zona Norte,Híbrido,optimización; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Jefatura de optimización optimización Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0038,Consultor/a de optimizacion,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0038,optimizacion · Consultor,Consultor,Consultoría,GAM,Campo,optimizacion; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Consultor/a de optimizacion optimizacion Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0039,Gestor/a de Ingeniería,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0039,Ingeniería · Gestor,Gestor,Gestión,Alajuela,Mixto,Ingeniería; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gestor/a de Ingeniería Ingeniería Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0040,Instructor/a de industrial,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0040,industrial · Instructor / formador,Instructor / formador,Formación,Heredia,Presencial,industrial; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Instructor/a de industrial industrial Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0041,Inspector/a de calidad en mejora,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0041,mejora · Control de calidad,Control de calidad,Calidad,Puntarenas,Virtual,mejora; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Inspector/a de calidad en mejora mejora Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
PER-CR-0042,Analista de datos y reportes de continua,ingenieria_industrial,"Ingeniería industrial, procesos y mejora continua",MF-CR-0042,continua · Datos y reportes,Datos y reportes,Datos / analítica,Zona Norte,Híbrido,continua; ingeniero industrial; ingenieria industrial; procesos; mejora continua; lean; six sigma; produccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Analista de datos y reportes de continua continua Ingeniería industrial, procesos y mejora continua ingenieria_industrial ingeniero industrial ingenieria industrial procesos mejora continua lean six sigma produccion producción productividad indicadores kpi calidad optimización optimizacion",
